Fund Name,Date,NAV
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-07-29,438.9268
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-07-30,439.0067
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-07-31,440.737
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-08-01,441.8761
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-08-02,438.9446
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-08-05,429.8532
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-08-06,427.9967
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-08-07,433.438
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-08-08,432.4184
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-08-09,435.1473
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-08-12,434.2933
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-08-13,431.6093
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-08-14,431.6202
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-08-16,435.8645
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-08-19,436.7359
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-08-20,437.8648
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-08-21,439.1795
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-08-22,440.4218
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-08-23,440.5071
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-08-26,442.5794
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-08-27,442.9593
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-08-28,443.361
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-08-29,443.6606
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-08-30,445.105
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-09-02,445.3988
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-09-03,445.6373
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-09-04,445.6396
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-09-05,445.5908
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-09-06,441.7497
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-09-09,442.2352
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-09-10,444.373
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-09-11,442.9328
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-09-12,448.2992
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-09-13,447.7145
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-09-16,447.576
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-09-17,448.4766
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-09-18,447.24
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-09-19,448.0067
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-09-20,452.5777
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-09-23,455.6483
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-09-24,455.1867
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-09-25,454.9456
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-09-26,456.224
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-09-27,454.8015
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-09-30,450.9116
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-10-01,451.8626
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-10-03,445.03
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-10-04,441.7712
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-10-07,436.7043
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-10-08,442.219
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-10-09,442.7079
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-10-10,442.9039
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-10-11,442.7985
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-10-14,445.0509
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-10-15,445.7111
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-10-16,445.662
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-10-17,441.8585
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-10-18,442.4629
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-10-21,440.0556
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-10-22,434.7453
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-10-23,434.4255
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-10-24,433.3002
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-10-25,430.5086
