Fund name,Date,NAV
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-08-27,10.354
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-08-28,10.3151
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-08-29,10.2525
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-08-30,10.2897
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-09-03,10.1229
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-09-04,10.1528
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-09-05,10.1723
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-09-06,10.2399
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-09-09,10.2923
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-09-11,10.3025
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-09-12,10.265
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-09-13,10.3378
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-09-16,10.3025
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-09-17,10.1953
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-09-18,10.2326
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-09-19,10.1517
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-09-20,10.5299
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-09-23,10.7872
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-09-24,10.7575
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-09-25,10.6493
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-09-26,10.7358
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-09-27,10.7293
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-09-30,10.694
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-10-01,10.6232
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-10-03,10.6038
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-10-04,10.4951
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-10-07,10.4707
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-10-09,10.5778
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-10-10,10.5254
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-10-11,10.5573
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-10-14,10.5826
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-10-15,10.6432
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-10-16,10.6568
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-10-17,10.7457
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-10-18,10.8111
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-10-22,10.8213
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-10-23,10.8334
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-10-24,10.8469
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-10-25,10.841
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-10-29,10.9553
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-10-30,10.9912
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-10-31,11.0047
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-11-01,10.9923
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-11-04,11.0115
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-11-05,10.9936
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-11-06,10.9843
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-11-07,11.0083
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-11-08,10.9512
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-11-11,10.9638
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-11-13,10.9272
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-11-14,10.9616
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-11-15,10.9609
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-11-18,10.9248
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-11-19,10.9551
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-11-20,11.0019
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-11-21,10.9934
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-11-22,10.9479
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-11-25,11.0391
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-11-26,11.0268
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-11-27,11.0545
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-11-28,11.0911
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-11-29,11.0186
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-12-02,11.0129
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-12-03,10.9922
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-12-04,11.0296
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-12-05,11.0097
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-12-06,10.9446
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-12-09,10.9276
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-12-10,10.8724
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-12-11,10.9167
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-12-12,10.9595
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-12-13,11.0427
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-12-16,11.0227
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-12-17,11.0765
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-12-18,11.1076
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-12-19,11.1394
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-12-20,11.1806
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-12-23,11.1638
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-12-24,11.1258
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-12-26,11.068
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-12-27,11.1487
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-12-30,11.1385
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-12-31,11.0806
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-01-01,11.0744
