Fund Name,Date,NAV
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-03-10,26.3532
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-03-11,26.3451
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-03-14,26.3466
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-03-15,26.3695
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-03-16,26.3493
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-03-17,26.3612
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-03-21,26.3555
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-03-22,26.35
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-03-23,26.3674
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-03-24,26.3691
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-03-25,26.3757
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-03-28,26.3714
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-03-29,26.3745
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-03-30,26.3961
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-03-31,26.3898
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-04-01,26.3953
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-04-04,26.3972
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-04-05,26.4058
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-04-06,26.4127
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-04-07,26.3939
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-04-08,26.3819
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-04-11,26.411
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-04-12,26.4221
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-04-13,26.4265
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-04-18,26.4163
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-04-19,26.4643
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-04-20,26.4424
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-04-21,26.4431
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-04-22,26.476
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-04-25,26.478
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-04-26,26.4766
